runs 960 failures 0 elapsed 32s
Q3 基准(交接误差模型)                      n= 24 全清 24 | 每源 均 447 中 449 P90  528 最大 595 | 总 均  5659 最大  6609 | 动作最大 236 | 移动占比 85% | 兜底率 48%
Q3 误差=iid_uniform                  n= 24 全清 24 | 每源 均 444 中 456 P90  525 最大 582 | 总 均  5628 最大  6540 | 动作最大 211 | 移动占比 85% | 兜底率 48%
Q3 误差=const_+1                     n= 24 全清 24 | 每源 均 442 中 447 P90  525 最大 601 | 总 均  5592 最大  6480 | 动作最大 203 | 移动占比 85% | 兜底率 50%
Q3 误差=const_-1                     n= 24 全清 24 | 每源 均 449 中 456 P90  524 最大 582 | 总 均  5686 最大  6547 | 动作最大 225 | 移动占比 85% | 兜底率 52%
Q3 误差=iid_extreme±1                n= 24 全清 24 | 每源 均 438 中 446 P90  519 最大 575 | 总 均  5545 最大  6316 | 动作最大 232 | 移动占比 86% | 兜底率 25%
Q3 接收半径全=1000                      n=120 全清120 | 每源 均 437 中 429 P90  519 最大 553 | 总 均  5544 最大  6579 | 动作最大 201 | 移动占比 85% | 兜底率 36%
Q3 源全在边界                           n=240 全清240 | 每源 均 503 中 489 P90  574 最大 616 | 总 均  6418 最大  7803 | 动作最大 329 | 移动占比 81% | 兜底率 82%
Q3 N=10(均匀布源,各误差)                  n= 40 全清 40 | 每源 均 520 中 523 P90  575 最大 601 | 总 均  5196 最大  6008 | 动作最大 223 | 移动占比 83% | 兜底率 45%
Q3 N=13(均匀布源,各误差)                  n= 40 全清 40 | 每源 均 441 中 457 P90  474 最大 488 | 总 均  5735 最大  6340 | 动作最大 203 | 移动占比 86% | 兜底率 38%
Q3 N=16(均匀布源,各误差)                  n= 40 全清 40 | 每源 均 371 中 372 P90  405 最大 413 | 总 均  5936 最大  6609 | 动作最大 236 | 移动占比 86% | 兜底率 50%
Q4 基准(交接误差模型)                      n= 24 全清 24 | 每源 均1054 中1077 P90 1397 最大1498 | 总 均 13005 最大 14981 | 动作最大 677 | 移动占比 81% | 兜底率 69%
Q4 误差=iid_uniform                  n= 24 全清 24 | 每源 均1057 中1078 P90 1391 最大1497 | 总 均 13040 最大 15597 | 动作最大 678 | 移动占比 81% | 兜底率 70%
Q4 误差=const_+1                     n= 24 全清 24 | 每源 均1051 中1076 P90 1369 最大1492 | 总 均 13007 最大 14922 | 动作最大 694 | 移动占比 81% | 兜底率 70%
Q4 误差=const_-1                     n= 24 全清 24 | 每源 均1061 中1092 P90 1396 最大1484 | 总 均 13104 最大 15531 | 动作最大 648 | 移动占比 81% | 兜底率 76%
Q4 误差=iid_extreme±1                n= 24 全清 24 | 每源 均1050 中1081 P90 1383 最大1460 | 总 均 12989 最大 14708 | 动作最大 570 | 移动占比 81% | 兜底率 45%
Q4 接收半径全=1000                      n=120 全清120 | 每源 均1021 中1061 P90 1423 最大1644 | 总 均 12520 最大 16442 | 动作最大 824 | 移动占比 80% | 兜底率 58%
Q4 源全在边界且朝外                        n=240 全清240 | 每源 均1222 中1209 P90 1468 最大1534 | 总 均 15438 最大 17331 | 动作最大 727 | 移动占比 76% | 兜底率 71%
Q4 N=10(均匀布源,各误差)                  n= 40 全清 40 | 每源 均1380 中1371 P90 1467 最大1498 | 总 均 13799 最大 14981 | 动作最大 694 | 移动占比 78% | 兜底率 66%
Q4 N=13(均匀布源,各误差)                  n= 40 全清 40 | 每源 均1085 中1078 P90 1145 最大1200 | 总 均 14102 最大 15597 | 动作最大 647 | 移动占比 82% | 兜底率 62%
Q4 N=16(均匀布源,各误差)                  n= 40 全清 40 | 每源 均 699 中 707 P90  807 最大 850 | 总 均 11185 最大 13598 | 动作最大 524 | 移动占比 82% | 兜底率 70%
